Tipo de tarea,Intención,Socioestructura,Nombre de la tarea,Enlace Imagen,Imagen,Vídeo,Descripción de la tarea
Situación de partido,Ataque de área estando,XxX,Ataque contra defensa hundida,https://drive.google.com/file/d/1pwm54nxKnsecjhB7C0FfK1VsO78_ODwc/view?usp=sharing,,https://drive.google.com/file/d/1O5GNECSYsjV26zH7hlPf1o4qObpy2_Dw/view?usp=sharing,"Un equipo realiza un ataque contra una defensa situada en bloque bajo. Si el balón sale fuera de los límites del juego se mete otro rápidamente para trabajar el reposicionamiento.
La puntuación de la tarea es la siguiente:
- Gol --> 5 puntos
- Despeje al campo --> 1 punto
- Conducción o pase entre las porterías --> 3 puntos
Cada 2 acciones se hacen rotaciones por posiciones."
Situación de partido,Defensa de área estando,5x5*,Defensa de área en bloque bajo,https://drive.google.com/file/d/1RwXN4HVN33syMJFGD2WL4so01yYsXkRX/view?usp=sharing,,https://drive.google.com/file/d/1als-tMMJT8nOffmM3TbOwPw-Y-560YrV/view?usp=sharing,"Defensa de área en bloque bajo con 5 defensas ante 5 atacantes más 2 comodines.
Un tercer equipo espera alrededor de la jugada.
Cuando se produce el robo o el despeje, entra el grupo que estaba esperando y ataca contra los que habían realizado el útlimo ataque.
Si se marca gol, el equipo que lo ha logrado repite ataque."
Situación de partido,Ataque de área llegando,6x4,6vs4 en dos campos,https://drive.google.com/file/d/1Xr0ZDYHWcCandKO2ivO7pfJyTNo0NJzP/view?usp=sharing,,https://drive.google.com/file/d/1V66zyckZrASQY0wy4L88yT8C6A6xVu90/view?usp=sharing,"Ataque de 6 contra Defensa de 4 en la cual los atacantes circulan mientras los defensas van haciendo saltos a la presión, correcciones y recuperaciones. En el momento que deseen los jugadores ofensivos, inician un ataque buscando finalizar en portería. Si los defensores roban, tienen que intentar contactar con sus compañeros de la otra mitad del campo. Para evitarlo, los jugadores que han perdido el balón inician una presión tras pérdida que, si no es exitosa, obligará a un repliegue hasta la zona central.
Si el ataque es exitoso, se inicia en el otro campo pero se evita la transición defensiva y el repliegue. (2´/1´)."
Situación de partido,Ataque de área llegando,6x6*,Ataque 7vs6 en 3/4,https://drive.google.com/file/d/1Mae5_XgZsvPEWAREFSH_IzgZ5dbTN1ns/view?usp=sharing,,https://drive.google.com/file/d/1DUf1umWrZSPHYnZ9KMMSg9DZTr1BkGYO/view?usp=sharing,"Ataque vs Defensa: Los 4 centrocampistas y los dos delanteros, con la ayuda de un comodín inician ataques contra 4 defensas y 2 mediocentros. Si estos roban, intentan contactar con los jugadores que están descansando."
Situación de partido,Ataque de área llegando,XxX,Ataques 10vs9,https://drive.google.com/file/d/1PbYPjsxPWvGV44LA_g9huPCtAgtqFW1J/view?usp=sharing,,https://drive.google.com/file/d/1WItVfODeXQC1_9lpxhK8wigY6fj5dZqO/view?usp=sharing,"Ataque vs Defensa. La línea de medios, delanteros y  laterales buscan superar a los defensas y medios para marcar gol. El equipo que defiende trata de robar el balón y conectar el balón con el jugador descolgado para que este conecte con la línea de medios."
Situación de partido,Ataque de área llegando,XxX,Ataque y presión tras pérdida por zonas,https://drive.google.com/file/d/1_Np9tChkgNXk4NO6yg7xWGVXYza0ng6E/view?usp=sharing,,https://drive.google.com/file/d/1AymYVwi3mV5-adCpG_4C4jczLmiJjGqS/view?usp=sharing,Un equipo realiza un ataque posicional contra una defensa en inferioridad que tendrá como objetivo robar la pelota y conseguir sacar el balón de la zona de robo o anotar en la portería central.
Situación de partido,Ataque de área llegando,XxX,Ataques distintos en función de las zonas,https://drive.google.com/file/d/1jcA2hnj5kGcXaJ6erlwdAEWxvrEqnCM1/view?usp=sharing,,https://drive.google.com/file/d/1yz4-cM7yVhWAoWXuG4WkoUPrIWBnkL6u/view?usp=sharing,"Ataque-defensa con diferenciación de roles de los jugadores exteriores (por dentro para combinar, por fuera para centrar de 3⁄4 o llegar a línea de fondo). El equipo ofensivo trata de superar a los defensas o por dentro o por fuera para posteriormente anotar en la portería grande.
Hasta que la pelota no salga del rectángulo central, no se juega fuera de él. Cuando sale, se lanza un ataque (preferentemente rápido).
El equipo que defiende tiene que intentar robar la pelota y anotar en portería o dar 5 pases seguidos.
*Tras un centro de una banda se realiza una segunda acción desde la banda contraria."
Situación de partido,Ataque de área llegando,XxX,Ataque en zona central y apariciones en carril lateral,https://drive.google.com/file/d/1jQ1NPIp4CHpYGUZjmUTHjC076RWuUzGa/view?usp=sharing,,https://drive.google.com/file/d/1X8oAraA2Ud7mor0VDfxZcO0OlMt_qdvi/view?usp=sharing,"5 jugadores inician un ataque en el carril central intentando finalizar en portería grande, pudiendo realizar desmarques a los carriles laterales o usar ahí a los jugadores exteriores.
En el momento en el que la pelota entre a dichos carriles, pasarán a actuar también los defensores de los mismos. (uno defendiendo el carril y otro incorporándose al central)
Si en algún momento los defensores roban la pelota, inician una transición ofensiva intentando anotar en las porterías pequeñas."
Situación de partido,Ataque de área llegando,XxX,Ataque vs defensa con zonas marcadas e instrucciones específicas,https://drive.google.com/file/d/1VVcV1SZZHA9Ew6FfAsRyGDsBMIjxa-O3/view?usp=sharing,,https://drive.google.com/file/d/13fglN_Sab8nD-YAwt9HoktbmVqFzW3sy/view?usp=sharing,Dinámica de ataque y defensa en la que se divide el campo en zonas y se van dando instrucciones generales tanto en ataque como en defensa.
Situación de partido,Defensa de área llegando,6x5,Defensas en inferioridad ante ataques llegando al área,https://drive.google.com/file/d/1zNVBzhoME-607JURwsaGUCiOnoVLqpg6/view?usp=sharing,,https://drive.google.com/file/d/1GlKGkISgjJ6RQAN-cZ7b0zyRigKtjyVB/view?usp=sharing,"Situación de ataque defensa en la que se incide en la defensa en inferioridad tanto en el momento de ataque como en el de la presión tras pérdida (intervienen dos jugadores del equipo que está esperando para modificar la desigualdad numérica).
*Se introducen segundos balones para darle dinamismo a la tarea y para trabajar las reubicaciones."
Situación de partido,Defensa de área llegando,XxX,Defensas en inferioridad y transición hacia descolgados,https://drive.google.com/file/d/1e_9Wj_mZ2BHjV1V0tMzDJVTFXex11Gtl/view?usp=sharing,,https://drive.google.com/file/d/1Ry5FRN8U2lFSDq54YP5eWlhf67g3XI8g/view?usp=sharing,"Un equipo inicia un ataque en en el que tras superar el medio campo, tendrá superioridad y tratará de hacer gol. El equipo que defiende, tiene que intentar robar y contactar con los descolgados para anotar en la portería rival."
Situación de partido,Defensa de área estando,XxX,Defensas en inferioridad,https://drive.google.com/file/d/18rw0RHvHxRcCn86tLCYC0TlGlrbmvx5D/view?usp=sharing,,https://drive.google.com/file/d/1nRE2ftlPyNaICHcr1NVJhIiI3zLNMwD4/view?usp=sharing,"Defensas contra un ataque que cuenta con superioridad en los carriles exteriores (ahí se activan dos jugadores que solo actúan en la fase ofensiva).
Si se produce robo, se intenta conectar con los tres jugadores que están esperando y los que han perdido, se activan tras la pérdida para evitarlo."
Situación de partido,Defensa de área estando,XxX,Defensas en inferioridad en carriles externos,https://drive.google.com/file/d/1KHxl41zvEtHHdfH-cHfFydaexb-W0FW0/view?usp=sharing,,https://drive.google.com/file/d/1RFIZhvCXJ0keLn3esqpQmpN_ZQMRGXLq/view?usp=sharing,"Defensas contra un ataque que cuenta con superioridad en los carriles exteriores.
Si se produce robo, se intenta conectar con los tres jugadores que están esperando y los que han perdido, se activan tras la pérdida para evitarlo."
Situación de partido,Ataque de área llegando,XxX,Ataque 6vs4 - 1/2 tras segunda jugada,https://drive.google.com/file/d/1DZaCz4jRbQpl-f839LLhITu33CXZv1wq/view?usp=sharing,,https://drive.google.com/file/d/12bYs6NhYe49wGyNIicZU0wAP0Zx_gis-/view?usp=sharing,"Ataque 6vs4 - 1/2 en el cual se decide qué equipo de 6 ataca según el que gane la caída del desplazamiento en largo con  el que inicia la jugada.
A medida que pasa el tiempo de la jugada se van incorporando jugadores defensivos"
